dimension,k,seed,significance_level,number_of_ot_points,number_of_monte_carlo_samples,hdr_log_volume,ot_log_volume,log_volume_ratio,log_volume_mc_standard_error,log_inclusion_fraction,log_bounding_box_volume,number_inside,number_of_source_region_points,mean_squared_transport_cost
4,16.0,5,0.1,10000,10000,9.85816447417067,11.733958902433761,-1.8757944282630916,0.005742710457985438,-0.2850189550322977,12.018977857466059,7520,9017,32861.60731369535
4,16.0,6,0.1,10000,10000,9.85816447417067,11.970193826142438,-2.1120293519717688,0.00566572116338149,-0.27839202554468834,12.248585851687126,7570,9023,32353.703694931428
4,16.0,7,0.1,10000,10000,9.85816447417067,11.795260981885098,-1.937096507714429,0.005684200467641659,-0.2799784880667495,12.075239469951848,7558,8985,32469.581869324553
4,16.0,8,0.1,10000,10000,9.85816447417067,11.855713578679167,-1.9975491045084972,0.005662641123206304,-0.27812785964697007,12.133841438326137,7572,8965,33101.393048199905
4,16.0,9,0.1,10000,10000,9.85816447417067,11.69508709640684,-1.8369226222361714,0.0053185866256625055,-0.24910259048430738,11.944189686891148,7795,9051,32694.07973913147
8,2.0,0,0.1,10000,10000,14.196410393109064,18.22821311580301,-4.031802722693945,0.00494211862652056,-0.2185292137634658,18.446742329566476,8037,8960,229.01763053912896
8,2.0,1,0.1,10000,10000,14.196410393109064,18.40061178403277,-4.204201390923705,0.0048966507122084665,-0.21492739654287085,18.615539180575638,8066,8973,225.22179818063006
8,2.0,2,0.1,10000,10000,14.196410393109064,18.166064401445684,-3.9696540083366205,0.004829054582300335,-0.2096105370316259,18.37567493847731,8109,9078,232.7112028249509
8,2.0,3,0.1,10000,10000,14.196410393109064,18.644083036201764,-4.4476726430927,0.00429760115254897,-0.16948430799246417,18.813567344194226,8441,9013,228.16205146464426
8,2.0,4,0.1,10000,10000,14.196410393109064,18.769120253394284,-4.5727098602852205,0.004276353741777761,-0.16794539084944837,18.937065644243734,8454,8983,231.5973071911032
8,2.0,5,0.1,10000,10000,14.196410393109064,18.600333142314472,-4.4039227492054085,0.0046836256496120806,-0.19832899493977152,18.798662137254244,8201,8992,229.03740124372447
8,2.0,6,0.1,10000,10000,14.196410393109064,18.657065012103214,-4.46065461899415,0.0049577761182680305,-0.21977423384460693,18.87683924594782,8027,8988,225.3187068220009
8,2.0,7,0.1,10000,10000,14.196410393109064,18.578548554793123,-4.382138161684059,0.0044436626995130344,-0.1802038008229534,18.75875235561608,8351,9059,225.2376482946927
8,2.0,8,0.1,10000,10000,14.196410393109064,18.447781215450448,-4.251370822341384,0.0048085739725356675,-0.20800866372993987,18.65578987918039,8122,8979,228.0702128486331
